N (2^),naiveMemcpy,registerMemcpy,glbShrMemcpy,scanIncAddI32,singlePassScanAuxBlock,singlePassScanLookback
10,2.05,1.37,1.37,1.64,inf,0.23,0.24
11,4.10,2.73,2.73,3.28,16.38,0.48,0.50
12,8.19,5.46,5.46,6.55,10.92,0.96,0.96
13,16.38,10.92,9.36,13.11,10.92,1.87,1.93
14,32.77,21.85,18.72,26.21,10.92,3.54,3.54
15,52.43,43.69,32.77,52.43,10.92,6.90,6.72
16,104.86,87.38,65.54,104.86,10.70,12.79,13.11
17,209.72,174.76,131.07,209.72,10.49,19.42,25.58
18,419.43,349.53,262.14,299.59,10.65,34.95,51.15
19,699.05,699.05,599.19,599.19,10.73,39.95,93.21
20,932.07,1198.37,932.07,838.86,11.02,57.46,164.48
21,1290.56,2396.75,1290.56,1198.37,11.54,48.77,223.70
22,958.70,2236.96,1198.37,1242.76,14.29,21.22,244.92
23,1266.21,5162.22,1220.16,1242.76,17.38,35.70,497.10
24,1290.56,5368.71,1290.56,1278.26,17.28,49.62,573.58
25,1322.34,5965.23,1328.89,1303.08,12.45,39.18,646.83
26,1332.19,6316.13,1348.92,1319.09,16.98,40.64,679.58
27,1016.80,3555.44,1354.03,1319.09,17.23,42.21,709.68
28,1052.17,6587.37,1363.48,1325.61,17.25,41.53,724.03
29,1219.12,6419.98,1366.08,1328.07,16.35,42.31,729.20
30,1339.67,5666.18,1367.61,1327.25,17.29,45.60,730.19
