N,cudaMemcpy,naiveMemcpy,cpu,AuxBlock,SeqLookback,ParLookback,scanIncAdd
10,3.28,4.10,16.38,0.26,0.27,0.27,0.91
11,6.55,8.19,10.92,0.53,0.54,0.55,1.82
12,13.11,16.38,10.92,1.04,1.07,1.07,3.45
13,26.21,32.77,10.92,2.02,2.05,1.99,6.55
14,52.43,52.43,10.92,3.91,4.03,3.86,13.11
15,104.86,104.86,10.49,7.38,7.94,7.71,26.21
16,209.72,209.72,10.49,12.19,15.42,15.65,49.93
17,349.53,419.43,10.49,21.18,29.13,30.39,131.07
18,838.86,1048.58,10.49,43.69,93.21,99.86,299.59
19,1398.10,1677.72,10.77,59.92,116.51,118.15,493.45
20,1864.14,2097.15,10.36,55.55,162.89,167.77,699.05
21,1597.83,1290.56,11.11,48.91,152.52,161.32,
22,1242.76,1266.21,16.30,28.94,206.49,207.13,664.44
23,1254.37,1303.08,17.07,44.02,238.40,234.24,702.71
24,1303.08,1322.34,17.07,37.97,256.39,249.71,735.44
25,1319.09,1332.19,17.05,40.06,266.31,260.11,755.09
26,1315.86,1307.85,16.95,40.41,271.42,264.60,766.41
27,1258.78,1338.00,17.07,39.60,274.19,266.90,770.26
28,1299.14,1339.67,17.07,40.53,275.94,268.00,772.06
29,1327.25,1339.67,11.28,42.89,276.27,267.87,768.26
30,1328.68,1340.29,16.86,44.28,276.64,268.19,830.15
