N,cudaMemcpy,naiveMemcpy,cpu,AuxBlock,SeqLookback,ParLookback,scanIncAdd
10,3.28,4.10,8.19,0.86,0.91,0.96,0.91
11,6.55,8.19,8.19,1.56,1.72,1.56,1.82
12,13.11,16.38,7.28,2.85,3.12,2.73,3.28
13,26.21,32.77,7.28,4.52,5.96,5.70,6.55
14,52.43,52.43,7.28,7.94,10.49,10.92,13.11
15,104.86,104.86,7.18,10.49,19.42,21.85,26.21
16,209.72,209.72,7.18,10.49,33.83,40.33,49.93
17,349.53,419.43,7.16,16.64,61.68,69.91,110.38
18,699.05,699.05,7.15,13.62,102.30,123.36,199.73
19,932.07,1048.58,7.12,14.05,155.34,190.65,310.69
20,1290.56,1290.56,6.96,11.44,349.53,430.19,729.44
21,1597.83,1290.56,7.30,14.60,399.46,508.40,
22,1242.76,1266.21,11.96,11.35,435.77,563.94,664.44
23,1266.21,1303.08,12.34,8.95,461.23,618.51,699.05
24,1303.08,1322.34,12.36,8.18,472.60,645.28,733.43
25,1315.86,1332.19,12.34,8.76,465.23,647.61,755.09
26,1221.55,1148.39,12.30,8.44,459.26,657.53,763.14
27,1278.26,1257.31,12.33,8.74,463.92,659.55,771.92
28,1315.86,1339.67,12.18,8.93,460.93,661.99,771.23
29,1326.84,1339.67,11.98,9.49,462.37,660.56,770.33
30,1328.58,1340.29,11.97,8.98,458.23,658.79,828.50
