N,cudaMemcpy,naiveMemcpy,cpu,AuxBlock,SeqLookback,ParLookback,scanIncAdd
10,3.28,4.10,8.19,0.68,0.71,0.74,0.63
11,6.55,8.19,8.19,1.31,1.42,1.49,1.21
12,13.11,16.38,7.28,2.62,2.73,2.85,2.34
13,26.21,26.21,7.28,4.68,5.04,4.68,4.52
14,52.43,52.43,7.08,9.04,9.36,8.74,8.74
15,104.86,104.86,7.08,15.89,18.08,17.48,17.48
16,174.76,209.72,7.04,22.80,34.95,34.95,33.83
17,299.59,349.53,7.06,33.83,61.68,67.65,67.65
18,524.29,599.19,7.07,32.51,107.55,123.36,135.30
19,762.60,932.07,7.08,37.79,174.76,199.73,246.72
20,1118.48,1118.48,6.71,40.04,275.04,310.69,328.97
21,1082.40,906.88,7.04,13.22,356.96,377.02,
22,1242.76,1266.21,8.28,21.45,684.78,737.46,516.22
23,1254.37,1303.08,11.97,17.46,706.41,784.90,554.62
24,1303.08,1322.34,11.97,16.37,775.83,868.72,579.77
25,1319.09,1332.19,10.03,18.01,813.44,906.88,581.66
26,1222.94,1193.05,11.92,19.32,842.15,924.84,582.29
27,1282.85,1337.16,12.10,18.91,840.50,934.09,618.34
28,1315.05,1339.25,11.83,17.75,846.63,937.15,617.63
29,1326.63,1339.46,11.96,16.94,799.29,931.76,616.78
30,1328.68,1340.29,11.75,16.56,821.92,829.58,622.73
